no,src,tgt,basic_ingredient
8896,tahu mahkota sosis,"5 bh tahu , haluskan || 200 gr daging ayam giling || 2 bh wortel uk sedang , parut || 1 btg daun bawang , iris halus || 2 btr telur || bumbu :  || 3 siung bawang putih halus || 1 sdt garam || 1 / 4 sdt merica || 1 / 4 sdt kaldu bubuk || 1 sdm gula || 4 sosis secukupnya , kerat permukaannya jadi || ",tahu
1312,ayam goreng bumbu ungkep,"1 kg ayam ,  cuci bersih || minyak goreng || 1 btg sereh || 1 lbr daun kunyit || 2 lbr daun salam || bumbu ungkep :  || 5 siung bawang merah || 8 siung bawang putih || 3 cm jahe || 3 cm kunyit || 5 cm lengkuas || 3 btr kemiri || 1 sdt ketumbar || secukupnya garam || ",ayam
12828,kering tempe manis mudah,"2 papan tempe ,  diiris kecil dan digoreng garing || secukupnya kacang goreng  ( optional )  || bumbu  :  || 7 siung bawang merah iris tipis || 3 siung bawang putih besar iris tipis || 2 bulatan gula jawa ,  iris sisir || 3 lembar daun salam || 1 batang serai ,  geprek || 1 ruas jahe ,  geprek || 1 ruas lengkuas ,  geprek || 1 gelas kecil air || secukupnya garam || 1 sdt kaldu jamur || ",tempe
13009,oreg tempe dengan tiga with vco oil,1 papan tempe yg diplastik || toge || 1 buah tomat || 4 bawang merah || 3 siung bawang putih || 2 lembar daun salam || 5 cabe rawit || 3 cabe merah || secukupnya garam || secukupnya gula pasir || kecap manis || 1 sendok saos tiram || 2 ruas jari lengkuas || ,tempe
6450,soup iga sapi simple 😉,1 / 4 iga sapi potongan kecil || 1 ons buncis muda || 1 buah kentang uk sedang || 2 batang daun bawang || 1 buah tomat uk besar || 2 siung bawang putih || 1 / 2 buah bombay || secukupnya garam dan merica bubuk || ,sapi
1834,nugget ayam simple,400 gdaging ayam fillet || 2 butir telur || bumbu  :  || 5 siung bawang putih  ( haluskan )  || 1 batang daun bawang || 30 gr wortel parut kasar || 1 sdt garam || 1 / 3 sdt merica || 1 / 3 sdt gula || 1 bks kaldu bubuk || 2 sdm tapioka || bahan pelapis :  || 2 sdm tepung terigu || secukup nya air || tepung panir kasar || ,ayam
605,ayam kecap manis pedas no msg,1 / 4 daging ayam || 1 / 2 papan tempe kecil  ( secukupnya sesuai selera )  || 7 buah cabe rawit orens  ( cabe setan )  )  || 2 buah cabe merah besar  ( lombok merah )  || 2 buah cabe hijau  ( lombok ijo )  )  || 1 butir kemiri || 5 siung bawang merah || 2 siung bawang putih || secukupnya garam || lada bubuk || kecap bangau || 1 / 2 ruas jahe kecil || 1 lembar daun salam || sedikit minyak untuk menumis dan air secukupnya || sedikit gula pasir || ,ayam
2803,semur ikan bandeng telor tahu,2 ekor ikan bandeng || telor ceplok  ( mata sapi )  || tahu  ( digoreng )  || bumbu  :  || 10 biji bawang merah  ( potong )  || 5 siung bawang putih  ( potong )  || 3 biji cabe merah  ( keriting )  || 5 biji cabe rawit || 1 buah tomat  ( potong )  || garam || royco || merica || kecap || ,ikan
12742,tempe goreng tepung kriuk,tempe || tepung terigu || tepung bumbu sajiku || tepung bumbu racik tempe || royko || sedikit air putih || ,tempe
10142,orak arik telur bihun,"2 butir telur || 2 keping bihun jagung ,  seduh air panas ,  tiriskan || 4 siung bawang putih ,  cincang halus || 4 siung bawang merah ,  cincang halus || iris daun bawang prei ,  || 1 butir tomat ,  iris || minyak utk menumis || kecap manis || saos tiram || minyak wijen || secukupnya garam ,  gula dan lada bubuk || ",telur
10458,roti gulung sosis keju telur,6 potong roti tawar || 3 buah sosis ayam  ( champ )  || 2 slices kraft cheddar || 2 butir telur ayam || secukupnya mentega || ,telur
1700,tumis ayam tahu jamur,250 gr ayam || tahu iris kotak *   ( digoreng )  || jamur  ( aku pake jamur musiman ( jamur barat )  || bawang goreng || secukupnya air || minyak untuk menumis || 5 cabe rawit utuh || 1 sachet kecap || bumbu halus  :  || 2 siung bawang putih || 1 / 4 sdt merica butiran || ,ayam
2008,pepaya tongkol santan bumbu rajang,150 gr pepaya muda parut  ( cuci dgn sedikit garem tiriskan )  || ikan tongkol  ( me pake yg sudah difillet dalam mika )  || 1 / 2 santan kara || bumbu rajang  ( iris )  :  || 10 cabe hijau keriting || 3 cabe merah keriting || 7 bawang merah || 4 bawang putih || 2 cm lengkuas || 1 / 2 sdm saori tiram || secukupnya gula putih || secukupnya royco ayam || 10 irisan gula merah || secukupnya air putih || secukupnya minyak goreng || ,ikan
8940,martabak isi tahu,5 tahu  ( ukuran sedang )  || 1 batang daun bawang || 2 buah telur || kulit lumpia || secukupnya garam || secukupnya masako || ,tahu
3659,sambal ikan roa,200 gr daging ikan roa yg sdh diblender agak halus || 8 buah tomat diiris2 || bumbu halus :  || 150 gr cabe rawit ( sesuai selera )  || 150 gr bawang merah || 5 diung bawang putih || ,ikan
8037,tumis toge tahu simple,"100 gram toge  ( buang akar ,  cuci bersih )  || 2 buah tahu kuning  ( saya pake tahu bandung ,  gurihhhh .  .  .  )  ,  cuci bersih ,  potong kecil ""  sesuai selera || 1 siung bawang putih ,  iris tipis || 1 batang daun bawang ,  iris serong || 1 / 2 buah tomat ,  iris ,  buang bijinya || 4 butir cabe rawit setan ,  iris serong || 1 / 2 sdt garam || 1 / 2 std merica bubuk || 1 / 2 sdt gula pasir || 100 ml air matang || 2 sdm minyak goreng || ",tahu
5163,tongseng kambing,"1 / 2 kg daging kambing  ( potong - potong , bersihkan  , rebus sampai empuk )  || 7 siung bawang merah || 4 siung bawang putih || 3 cm jahe || 1 sdm ketumbar || 1 sdt jintan || 2 kemiri || 1 sdm merica || 1 / 2 biji pala || sesuai selera cabe besar  &  rawit || 3 daun jeruk || 2 daun salam || 1 serai  ( di geprek )  || 1 tomat  ( potong 4 )  || kecap manis secukup nya || garam secukup nya || kubis  ( sesuai selera )  || ",kambing
5390,musacha/mosaga,250 gram daging kambing || 1 buah terong ukuran kecil || 1 buah kentang ukuran sedang || 1 buah bawang bombay || 1 siung bawang putih || 5 sdm saus tomat || 1 sdt lada bubuk || 2 sdt garam || 1 sdt gula pasir || 3 sdm mentega u /  menumis || minyak secukupnya u /  menggoreng || secukupnya air || ,kambing
3925,daging kambing oseng mercon,"1 kg daging kambing ,  rebus lalu potong sesuai selera || 7 siung bawang merah ,  iris halus || 5 siung bawang putih ,  iris halus || 1 buah bombay ,  potong dadu || 2 buah tomat ,  potong kasar || sesuai selera cabe hijau ,  boleh di iris atau di utuhkan saja || sesuai selera cabe rawit ,  boleh diiris atau di utuhkan saja || secukupnya saos tiram ,  || secukupnya kecap asin ,  || secukupnya kecap manis ,  || secukupnya minyak wijen ,  || secukupnya gulgar || minyak goreng untuk menumis || secukupnya air kaldu rebusan daging || ",kambing
12474,orek tempe asam manis,tempe  ( potong sesuai selera )  || cabe merah besar || cabe rawit || bawang merah || bawang putih || air asam || kecap || gula || garam || lengkuas || daun salam || ,tempe
13252,sambal ulek tempe kemangi,"1 / 2 papan tempe || 2 siung bawang putih || gula , garam secukupnya / sesuai selera || sesuai selera cabe kecil || secukupnya kemangi || ",tempe
84,ayam santan ngamuk,"ayam 1 / 2 kg , potong sesuai selera || 6 siung bawang putih || 4 siung bawang merah || 2 ons cabe merah || secukupnya gula merah || 1 sendok kecap manis || 3 lembar daun jeruk || kemiri 4 butir , goreng || jeruk limau || 1 bungkus lada bubuk || secukupnya santan kental || 1 / 2 sendok gula pasir || secukupnya garam || secukupnya air || ",ayam
5835,kulit sapi bumbu santan kering,500 gr kulit sapi || 1 bks kara santan || 2 batang daun kemangi || 4 butir kemii || 4 sihung bawang merah || 2 sihung bawang putih || 2 ruas kunyit ukuran kecil || 4 buah cabe gendol || 2 buah cabe merah || secukupnya terasi || gula pasir || penyedap || garam || air || minyak || ,sapi
4432,rica rica kambing,"1 kg daging kambing ,  rebus lalu potong tipis || bumbu tumbuk 1 :  || 7 siung bawang putih || 12 buah bawang merah || 3 butir kemiri sangrai || 1 / 2 ruas kunyit || bumbu tumbuk 2 :  || 100 gr cabe merah keriting || sesuai selera caber rawit || rajang halus :  || 3 batang sere bagian tengahnya || 5 lembar daun jeruk || 2 batang bawang pre || bumbu cemplung :  || seruas lengkuas ,  geprek || seruas jahe ,  geprek || 2 batang sere ,  geprek || 2 lembar daun salam || segenggam kemangi || 2 buah tomat potong kasar || 1 liter kaldu || secukupnya gula garam merica || secukupnya minyak untuk menumis || ",kambing
13286,kering tempe kentang,1 papan tempe  ( potong tipis dadu )  || 1 / 4 kg kentang  ( potong tipis dadu rendam sebentar diair garam )  || 5 siung bawang putih || 4 buah lombok merah besar  ( bisa ditambah sesuai selera )  || 10 buah lombok rawit merah  ( bisa ditambah sesuai selera )  || 4 lembar daun jeruk purut || 4 lembar daun salam || 2 cm lengkuas digeprek || 1 sdt asam jawa || 2 sdm gula jawa || secukupnya gula pasir || secukupnya garam || secukupnya kaldu bubuk || ,tempe
11064,telur gulung,2 butir telur ayam || 6 sdm air mineral || secukupnya garam || secukupnya merica || minyak goreng || tusuk sate || ,telur
7829,tahu susu teriyaki,"1 sct saos teriyaki || 4 bh tahu susu ,  goreng || 4 bh baso ,  iris || 1 butit telur || 3 bawang putih || 1 / 2 sdm kecap asin || 2 sdm kecap manis || secukupnya gula garam || secukupnya air || ",tahu
11789,combro / comro isi sambal tempe,"1 . 5 kg singkong || 500 gr kelapa parut || 1 sdm peres garam || 2 batang daun bawang ,  iris2 ||  🌀  bahan isi sambal tempe  🌀  || 2 papan tempe || 1 ikat besar kemangi .  ambil daunnya || 2 siung bawang putih || 2 buah cabe merah tanjung || 10 buah cabe keriting || 20 buah cabe rawit merah || 3 ruas kencur || 1 / 2 keping gula merah || secukupnya garam  &  kaldu bubuk || ",tempe
4187,sate kambing #kita berbagi,500 gram daging kambing || 7 butir bawang merah || 1 sdm ketumbar || 1 sdt garam || 4 buah gula merah || 1 buah asem || ,kambing
450,ayam goreng bumbu kuning ala fe' #bandung_recooksarikimdonghwa,1 / 2 kg ayam cuci bersih || 3 siung bawang putih || 1 ruas kunyit bakar kupas || 1 sendok makan ketumbar bubuk || 1 lembar daun salam || 1 sendok teh garam || 1 gelas air || minyak goreng secukupnya untuk menggoreng ayam || ,ayam
2211,kembung sambal tomat saus tiram,4 ekor ikan kembung uk . sedang  ( potong 2 )  || 3 tomat uk . sedang || 1 / 2 bh bawang bombai uk . sedang || 3 siung bawang merah || 5 siung bawang putih || 5 bh cabe rawit || 1 sdt saus tiram || minyak goreng || secukupnya garam  &  gula || ,ikan
10900,telur keju leleh ala debm menu diet menu sarapan diet debm,4 butir telur || 1 / 2 blok keju cheddar parut || 2 batang daun prei iris || 2 siung bawang putih || 2 siung bawang merah || sedikit penyedap || ,telur
12054,tumis tempe kemangi,"1 papan tempe || 1 ikat kemangi ,  ambil daunnya || 3 siung bawang merah || 5 siung bawang putih || 8 buah cabe rawit merah || 10 buah cabe merah keriting || 1 ruas kencur || 1 / 2 sdt garam || bahan rendaman tempe 🍂  🍂  || 2 siung bawang putih ,  haluskan || 1 sdt garam || secukupnya air || ",tempe
2042,tuna lapis oat,tuna potong bulat || secukupnya garam || secukupnya merica || secukupnya pala bubuk || secukupnya garlic powder || jeruk nipis  /  lemon || pelapis  :  || secukupnya tepung terigu || 1 buah telur yang dikocok || secukupnya oat || ,ikan
2767,tongkol asam pedes manis,"2 ekor ikan pindang tongkol || 4 siung bawang merah || 3 siung bawang putih || secukupnya bawang bombay || secukupnya daun pre || cabe rawit  ( selera )  || cabe merah  ( selera )  || cabe ijo  +  ale  ( selera )  || 2 biji tomat yg masih agak mentah || saos tomat || raja rasa || kecap asin || gula , garam , penyedap || ",ikan
12169,tempe melet,"1 papan tempe || 5 cabe merah kriting || 10 cabe rawit merah || 5 bawang merah || 2 bawang putih || 1 buah tomat .  secukupnya garam || bahan tepung || 1 bawang putih || 1 ruas kunyit || secukupnya garam dan lada || 2 sdm margarin ,  lelehkan || 1 lbr daun bawang || ",tempe
10629,telur kecap pedas,1 / 2 kg telur ayam || 6 butir bawang merah || 3 siung bawang putih || 10 buah cabe rawit merah || 2 buah tomat merah || sejempol jahe dan kunyit || secukupnya kecap manis || secukupnya garam dan gula pasir || minyak goreng || secukupnya air || ,telur
6099,beef hamburg,200 gr dgg sapi || 100 gr dgg ayam || 1 / 2 buah  bawang bombay oseng sebentar hingga layu || 2 siung bawang putih || secukupnya garam || secukupnya lada || keju quickmelt  ( optional )  || ,sapi
10000,telor kuah lahar,1 butir telur || 1 buah sosis so n * ce || secukupnya bawang bombay || secukupnya garam || secukupnya saus sambal || secukupnya saus tomat || sedikit kecap || sedikit margarin || sedikit air || ,telur
1123,bubur ati ayam saus edamame,1 centong nasi putih || secukupnya ati ayam || secukupnya edamame || kaldu tempe || secukupnya wortel || 2 lembar daun salam || 2 siung bawang putih || 2 siung bawang merah || ,ayam
4739,singgang kambing,"1 kg daging kambing  ( dicuci dengan air panas "" tiriskan ""  )  || sesuai selera cabe rawit merah || 3 lmbr salam || batang sereh2 || 1 ruas jari lengkuas  ( keprek )  || 5 buah belimbing buluh  potong kecil || bumbu yang dihaluskan :  || 10 buah cabe merah keriting || 5 siung bawang merah  &  putih || 1 ruas jari jahe  &  kunyit || 1 buah tomat || 1 sdm garam || ",kambing
7738,tumis caisin tahu,secukupnya caisin / pakcoy || tahu putih || 1 bks royco ayam || 1 buah tomat || 1 buah cabe merah || 3 siung bwg merah || 2 siung bawang putih || ,tahu
7881,tumis tahu udang rebon,"8 buah tahu || 1 , 5 sdm udang rebon || 4 siung bawang putih || 5 siung bawang merah || 1 buah bawang bombay kecil || 5 buah cabai rawit merah || 3 buah cabai hijau besar || 2 lembar daun salam || 1 sdm saus tiram || 150 ml air || secukupnya garam || secukupnya kaldu ayam || secukupnya gula merah || ",tahu
9760,telur dadar cah tauge,"2 butir telur || 1 genggam tauge || 3 pentol bakso || 2 siung bawah putih || 4 siung bawang merah || 1 bawang daun || 1 cabe merah || 10 cabe rawit  ( sesuai selera sih ,  krn aku suka pedes  😊  )  || minyak wijen || saos raja rasa || saos tiram || kecap manis || gula || garam || ",telur
13568,belut dan tempe bumbu tauco,"500 gram belut ,  bersihkan dan potong potong 7 - 10 cm ,  rendam dengan air jeruk agar amis dan lendirnya hilang || 100 gram tempe potong potong sesuai selera || bumbu  :  || 5 buah cabe hijau || 5 buah cabai rawit hijau || 1 buah bawang bombay || 5 siung bawang merah || 3 siung bawang putih || 1 buat tomat ukuran sedang || 2 lembar daun salam || 1 ruas lengkuas || 2 sdm tauco asin || 1 sdt gula pasir || ",tempe
6676,macaroni corned beef scrambled eggs,makaroni || 1 butir telur || 1 sendok kornet sapi || boncabe || margarin || garam || lada || ,sapi
8830,botok teri tahu tempe,"segenggam petai cina / lamtoro || segenggam teri medan || 3 ruas jari tahu putih ,  iris dadu kecil || 3 ruas jari tempe ,  iris dadu kecil || 1 / 2 butir kelapa muda parut || 1 biji telor || secukupnya daun pisang ,  dipanaskan di api agar tdk mdh retak || bumbu ulek  :  || 3 siung bawang merah || 4 siung bawang putih || 3 biji cabe merah || 3 lembar daun jeruk ,  iris tipis tipis || 2 ruas jari lengkuas ,  geprek || secukupnya garam || secukupnya gula || ",tahu
5450,nasi kebuli simple dengan ricecooker,1 cup beras di cuci bersih || 100 gr daging kambing di potong dadu || bumbu halus  :  || 5 siung bawang merah || 3 siung bawang putih || 1 / 2 sdt jinten || 1 / 2 sdt lada || 1 / 2 sdt ketumbar || 1 / 4 biji pala || 1 ruas jahe || rempah  :  || 1 butir kembang lawang || 1 butir kapulaga || 2 batang kayu manis || 1 buah sereh || 1 / 2 butir bawang bombay di cincang || minyak goreng || gula || garam || ,kambing
588,ayam fillet bumbu balado,secukupnya ayam fillet / dada ayam || 1 bungkus bumbu racik ayam || 1 bungkus tepung sajiku || secukupnya tepung terigu dicampur air es hingga mengental || secukupnya lada garam kaldu bubuk || bumbu balado ( optional )  || ,ayam
6534,beef teriyaki,250 gram daging sapi || 1 siung bawang bombay || 1 siung bawah merah || 1 siung bawang putih || 1 cm jahe  ( bersihkan lalu di geprek )  || 3 buah cabe hijau besar || 100 ml susu full cream  ( full cream ya bukan vanilla )  || saori saus teriyaki || kecap asin || secukupnya garam || ,sapi
9557,pepes tahu jamur,"200 gr jamur merang ,  iris tipis || 1 buah tahu putih besar  ( saya pake tahu telur )  || 1 butir telur || selembar daun pisang ,  bagi jadi 6 bagian || 6 lembar daun salam || 1 tangkai sereh || 3 sdm santan kental  ( me :  kara )  || 1 / 2 sdt ketumbar halus || 1 / 2 sdt garam  ( sesuai selera )  || 1 / 2 sdt lada || 1 sdt gula pasir || secukupnya kaldu jamur || bumbu halus || 4 siung bawang putih || 2 butir bawang merah || 1 / 2 ruas kunyit  ( untuk pewarna ,  bisa di skip )  || 4 buah cabai keriting || ",tahu
5199,tongseng kambing,bahan - bahan  :  || 1 / 4 kg daging kambing || 1 / 4 kg kol || 1 buah tomat || bumbu - bumbu  :  || 5 cabe rawit || 4 bawang merah || 3 bawang putih || 2 kemiri || 1 / 2 sdm lada bubuk || 1 bks kecap bango || ,kambing
1622,ayam goreng bawang khas batam,"1 / 2 ekor ayam bagian apa saja , potong kecil ""  || 1 bonggol bawang putih , cuci & geprek dengan kulit ""  nya || 1 butir telur || 3 sdm tepung maizena || secukupnya garam & kaldu jamur || secukupnya minyak goreng || bumbu halus :  || 6 siung bawang putih || 5 butir bawang merah || 1 sdt ketumbar bubuk || 1 / 2 sdt merica bubuk || 1 , 5 ruas jari jahe || 1 ruas jari kunyit || ",ayam
6022,semur lidah sapi,"500 gr lidah sapi || secukupnya air kaldu rebusan lidah sapi || 1 buah tomat ,  iris || 40 ml kecap manis ,  sesuaikan selera || sedikit pala /  bubuk pala || sesuai selera bawang goreng ||  ✔  bumbu halus || 1 sdt merica || 6 butir kemiri || 4 siung bawang putih || ",sapi
5243,kambing  kecap manis lada hitam,250 gram daging kambing rebus lama irirs iris sesuai selera || seikat bunga bawang || seikat daun seledry || 1 / 2 bawang bombay || 3 siung bawang putih || 5 siung bawang merah || 1 ruas lengkuas || 1 ruas kunyit || 1 sdt jinten || 1 sdt ketumbar halus || 2 sdm merica hitam halus || 1 buah tomat || 1 buah wortel || seiris gula merah || secukupnya garam dapur || 4 sdm kecap manis || 3 cabe rawit || ,kambing
4617,sop tulang iga kambing,"1 kg tulang iga kambing || wortel ,  kentang ,  kol sesuai selera ,  dipotong || 6 siung bawang merah ,  diiris halus || 3 siung bawang putih ,  diiris halus || 1 buah tomat ,  dipotong || 1 bungkus royco sapi || 1 bungkus merica bubuk || 2 batang bawang daun ,  potong 1 cm || 2 batang seledri ,  iris tipis || 3 / 4 panci sedang air || secukupnya garam || secukupnya minyak goreng || ",kambing
9164,tumis toge tahu,100 gram toge || 1 / 2 tahu cina di potong dadu  ( di goreng setengah matang )  || 1 batang daun bawang || bumbu iris  :  || 6 siung bawang merah || 2 siung bawang putih || 5 buah cabe kriting merah || 5 buah cabe rawit || 1 buah cabe hijau besar || secukupnya garam || secukupnya gula pasir || penyedap rasa || minyak untuk menumis || ,tahu
13406,tempe oreg cabe hijau,"1 papan tempe potong dadu || 5 siung bawang putih || 7 siung bawang merah || 7 buah cabe hijau || 1 buah tomat || 3 cm lengkuas ,  geprek || 3 lbr daun salam || secukupnya kecap manis || secukupnya garam || minyak utk menggoreng || ",tempe
2434,ikan sarden pedas manis,sarden || bawang putih || bawang merah || cabe rawit || cabe besar || garam || penyedap rasa || gula || ,ikan
4274,terik daging kambing,500 g daging kambing || bahan halus :  || 7 bawang merah || 6 bawang putih || 3 kemiri || 1 sdt ketumbar bubuk || 1 ruas jari jahe || bumbu lain :  || 2 batang serai || 2 daun salam || 1 jari laos || 1 bungkus santan kara || secukupnya gula jawa  ( sesuai selera manisnya )  || secukupnya kecap manis ( sy pake bango )  || ,kambing
6984,baby buncis siram daging sapi,"200 gr daging sapi giling || baby buncis || 6 siung bawang putih ,  geprek ,  cincang || 1 / 2 buah bawang bombay potong dadu  ( boleh skip )  || garam || lada || saus tiram || kecap asin || 100 ml air || minyak untuk menumis || ",sapi
3210,sup sosis ikan tuna,"secukupnya sosis ikan tuna ,  potong sesuai selera || sayur sesuai selera :  || 1 bonggol brokoli ukuran sedang , petik dr tangkainya , cuci bersih ,  || 1 wortel ukuran sedang , kupas n cuci bersih , potong sesuai selera || 1 kentang ukuran sedang , kupas n cuci bersih , potong sesuai selera || 7 buncis bersihkan n cuci bersih ,  potong sesuai selera || bumbu yg diulek :  || 9 siung bawang merah || 7 siung bawang putih || merica butir secukupnya || secukupnya pala ||  #  garam halus secukupnya  #  ||  #  gula pasir secukupnya  #  || ",ikan
2805,ikan nila bakar pedas manis,"2 ekor ikan nila || 15 buah bawang merah || 10 buah bawang putih || 4 buah kemiri || 5 buah cabai merah besar || 20 cabai rawit  ( bisa di sesuaikan ya pedasnya )  || 1 ruas lengkuas || 1 ruas jahe || 2 keping gula merah || kecap || penyedap || garam , gula || minyak || margarin || ",ikan
12210,orek tempe,1 papan tempe || 1 / 2 bawang bombay || 3 siung bawang putih || 4 siung bawang merah || 7 buah cabe rawit  ( sesuai selera ya moms )  || 1 daun jeruk || gula dan garam || kaldu jamur || sesuai selera kecap || 1 / 2 tomat merah segat || terasi abc sedikit saja || ,tempe
11602,telur dadar isi bayam,"1 / 4 ikat bayam ,  cuci ,  iris halus || 2 butir telur ,  kocok || 1 bawang merah ,  iris || 1 bawang putih ,  iris || 1 / 4 daun bawang ,  iris || 1 cabai merah ,  iris || ",telur
7936,telur n tahu bumbu balado,"6 butir telur rebus kupas sisihkan || 4 buah tahu putih ,  potong diagonal kerat2 sisihkan || bumbu halus :  || 8 bh cabe merah keriting || 6 buah cabe rawit merah || 8 siung bawang merah || 4 siung bawang putih || 3 buah tomat merah || seruas lengkuas || 2 bh daun salam || 3 buah daun jeruk purut || 1 batang sereh memarkan || 1 sdm gula putih || 1 sdt garam halus || bila suka penyedap rasa || ",tahu
2531,ikan tengiri pedas manis,"4 ekor ikan tengiri  ( boleh di potong / boleh tidak )  || minyak goreng || 3 siung bawang merah ,  potong halus || 3 siung bawang putih ,  potong halus || 1 / 4 sdm bubuk merica  ( sesuai selera )  || 1 butir tomat potong kecil || 1 helai daun salam || 1 helai lengkuas || gula merah  ( sesuai selera )  || 2 sdm kecap || 3 sdm saus tomat || penyedap rasa  ( sesuai selera  /  boleh iya atau tidak )  || 20 butir cabai lombok  /  cabai rawit potong kecil kecil || 1 / 2 sendok garam || 1 / 2 gelas air atau sesuai selera || sesuai selera gula merah atau gula aren || ",ikan
11309,soft boiled egg,1 butir telur ayam  ( atau sesuai selera )  yang sudah didinginkan  ( fresh dari kulkas )  || air untuk merebus telur  ( usahakan tinggi air di panci kurang lebih sama dengan telur )  || 1 buah paku payung /  alat untuk menusuk kulit telur || sejumput garam  ( atau sesuai selera )  || ,telur
5475,jeroan 🐄 masak asam manis#kitaberbagi,1 / 2 kg jeroan sapi /  kambing /  domba || 1 / 2 cabe merah /  cabe galak || 2 sdm ketumbar || 5 siung bawang merah || 5 siung bawang putih || sesuai selera asam  ( di kira2 aja ya )  || secukupnya gula merah || secukupnya garam || 1 ruas jahe || sedikit penyedap || ,kambing
2170,ikan laut jamur tiram kuah tomyam,"6 potong ikan laut ,  boleh ikan apa aja tergantung selera || 1 ons jamur  ,  dibanyakin juga boleh || 6 siung bawang merah || 4 siung bawang putih || 5 lembar daun jeruk || 1 batang serai || 10 buah cabe merah  ,  buang bijinya kalau ga kuat pedas || 2 buah tomat  belah 4 || 2 lembar daun salam || 1 ruas jahe || 1 ruas kunyit || 1 sdm garam  /  sesuai selera || secukupnya penyedap rasa || 1 / 2 sdt gula || 3 gelas air || 2 sdm margarin || 2 sdm cuka makan || ",ikan
11942,bacem tahu&tempe tanpa kecap (a.k.a bacem ndeso),5 tahu kulit || 1 / 2 papan tempe || 1 ruas lengkuas || 1 daun salam || secukupnya garam || secukupnya penyedap  ( optional )  || secukupnya gula pasir || secukupnya air || bumbu halus ;  || 2 bawang putih || 4 bawang merah || 2 kemiri || 1 sdt ketumbar || 1 bulatan gula jawa || ,tempe
13354,tumis tempe simple,"1 buah tempe ukuran sedang || 8 buah kacang panjang ,  iris || 2 buah wortel uk kecil ,  iris || 1 buah tomat kecil ,  iris || 3 siung bawang merah ,  iris || 1 siung bawang putih , iris || 2 cm jahe || 3 buah cabe merah ,  iris || 1 sdm saus tiram || sdikit garam || sdikit gula || 100 ml air || ",tempe
878,jamur shiitake ayam dan kembang kol,1 / 2 bgkus jamur shiitake || 1 potong ayam ukuran besar || 1 kembang kol || minyak goreng || gula garam dan penyedap || asam jawa || 3 sdm saos tiram || 3 sdm saos sambal || bumbu iris :  || 3 bawang putih || 3 bawang merah || 1 cm jahe || 1 btang daun bawang || 5 cabe merah || 2 cabe hijau || 1 buah tomat || ,ayam
11945,empal daging tahu tempe khas serang banten,"1 / 2 kg daging sapi || 6 potong tempe || 6 potong tahu goreng || 1 bks santan kara segitiga || 6 siung bawang merah  ( iris halus )  || 2 siung bawang putih  ( haluskan )  || 4 buah cabe merah besar  ( rebus ,  haluskan )  || 3 ruas lengkuas  ( geprek )  || 3 lembar daun salam || 1 butir asam jawa || secukupnya garam gula || secukupnya minyak untuk menumis || ",tempe
11830,tempe goreng asin,1 tempe bungkus daun yg panjang || secukupnya minyak goreng || bumbu halus || 3 siung bawang putih besar || 1 ruas kunyit lebih dikit || 1 ruas jahe || 1 sdt garam || 1 sdt penyedap  ( roy *  *  )  || 10 biji merica || sepucuk sdt micin  ( dikit bgt )  || 1 / 2 gelas air masak || ,tempe
9453,tahu kecap pedas ala anak kos,7 buah tahu coklat || 1 / 2 buah bawang bombay || 3 siung bawang putih || 3 siung bawang merah || 5 buah cabe rawit  ( bisa disesuaikan )  || 1 tangkai bawang daun || 1 lembar daun salam || 3 sdm kecap manis || 1 sdm saori || 1 / 2 sdm kecap asin || 1 sdm gula pasir || 1 / 2 sdm royco ayam || 1 / 2 sdm ladaku || 1 sdm margarin || 300 ml air putih || ,tahu
11485,gulai telur + sayur,"5 butir telur ayam || 1 bks santan kara || 1 genggam ebi kering || 5 buah tahu sumedang goreng ,  potong 4 bagian || 10 buah buncis ,  potong serong || 1 buah wortel ,  potong korek api || 5 lembar kol || 1 batang serai ,  geprek || 2 lembar daun salam || 1 / 2 sdt lengkuas bubuk || garam  +  penyedap || bumbu halus  :  || 10 buah cabe merah || 5 buah cabe rawit || 5 siung bawang merah || 3 siung bawang putih || 2 butir kemiri || 1 ruas kunyit || 1 ruas jahe || ",telur
9051,sambal telur puyuh tahu,30 butir telur puyuh ( 1 kotak )  || 5 potong tahu putih || bumbu  :  || 2 butir bawang putih || 4 butir bawang merah || 1 1 / 2 butir kemiri || 2 lembar daun salam || 4 butir cabe merah || 15 - 20 butir cabe rawit || 1 / 2 potong gula merah || sedikit kecap || sedikit air .  || sedikit penyedap || ,tahu
8860,tahu pletok,"5 buah tahu  ( potong menjadi 6 bagian )  || 5 siung bawang putih  ( ditumbuk halus )  || bahan saos  :  || secukupnya bawang putih yg sudah dihaluskan || secukupnya garam || secukupnya kecap manis || secukupnya kecap asin || secukupnya cuka || 1 sdt gula || 5 buah cabe rawit || bahan adonan  :  || 170 gr tepung sagu tani || 80 gr tepung terigu || 360 ml air didihkan dgn garam ,  merica ,  kaldu jamur ,  bawang putih || secukupnya daun bawang || ",tahu
11579,telur crispy,1 buah telur kocok lepas || sedikit garam || bahan tepung kering :  || 10 sdm tepung terigu || 2 sdm tepung kanji || 1 / 2 sdt baking powder || secukupnya garam || bila suka penyedap rasa || bahan pencelup :  || 2 sdm tepung kering || secukupnya air || adonan tidak cair dan tidak kental || minyak untuk menggoreng || ,telur
